uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
CE,OUTRAS,OUTRO,"< 9",M,9
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,12
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,11
CE,OUTRAS,VIA_PUBLICA,"< 9",F,3
CE,OUTRAS,VIA_PUBLICA,"< 9",M,3
CE,COVID,HOSPITAL,"< 9",F,20
CE,COVID,HOSPITAL,"< 9",M,15
CE,COVID,IGNORADO,"< 9",F,1
CE,COVID,IGNORADO,"< 9",M,3
CE,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
CE,INDETERMINADA,DOMICILIO,"< 9",F,1
CE,INDETERMINADA,DOMICILIO,"< 9",M,1
CE,INDETERMINADA,HOSPITAL,"< 9",F,2
CE,INDETERMINADA,HOSPITAL,"< 9",M,5
CE,INDETERMINADA,OUTRO,"< 9",M,1
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,4
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,26
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,41
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,4
CE,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,6
CE,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
CE,PNEUMONIA,DOMICILIO,"< 9",M,1
CE,PNEUMONIA,HOSPITAL,"< 9",F,34
CE,PNEUMONIA,HOSPITAL,"< 9",M,35
CE,PNEUMONIA,IGNORADO,"< 9",F,3
CE,PNEUMONIA,IGNORADO,"< 9",M,5
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
CE,SEPTICEMIA,AMBULANCIA,"< 9",M,1
CE,SEPTICEMIA,DOMICILIO,"< 9",M,1
CE,SEPTICEMIA,HOSPITAL,"< 9",F,80
CE,SEPTICEMIA,HOSPITAL,"< 9",M,115
CE,SEPTICEMIA,IGNORADO,"< 9",F,6
CE,SEPTICEMIA,IGNORADO,"< 9",M,11
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,5
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,5
CE,SRAG,HOSPITAL,"< 9",F,9
CE,SRAG,HOSPITAL,"< 9",M,4
DF,OUTRAS,DOMICILIO,"< 9",F,4
DF,OUTRAS,DOMICILIO,"< 9",M,2
DF,OUTRAS,HOSPITAL,"< 9",F,117
DF,OUTRAS,HOSPITAL,"< 9",I,3
DF,OUTRAS,HOSPITAL,"< 9",M,141
DF,OUTRAS,IGNORADO,"< 9",F,12
DF,OUTRAS,IGNORADO,"< 9",M,10
DF,OUTRAS,OUTRO,"< 9",M,1
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,5
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,5
DF,OUTRAS,VIA_PUBLICA,"< 9",F,2
DF,COVID,HOSPITAL,"< 9",F,4
DF,COVID,HOSPITAL,"< 9",M,1
DF,INDETERMINADA,HOSPITAL,"< 9",F,6
DF,INDETERMINADA,HOSPITAL,"< 9",M,1
DF,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,30
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,32
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
DF,PNEUMONIA,HOSPITAL,"< 9",F,8
DF,PNEUMONIA,HOSPITAL,"< 9",M,15
DF,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
DF,SEPTICEMIA,HOSPITAL,"< 9",F,68
DF,SEPTICEMIA,HOSPITAL,"< 9",M,63
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
DF,SRAG,HOSPITAL,"< 9",F,6
DF,SRAG,HOSPITAL,"< 9",M,3
ES,OUTRAS,DOMICILIO,"< 9",F,9
ES,OUTRAS,DOMICILIO,"< 9",M,16
ES,OUTRAS,HOSPITAL,"< 9",F,113
ES,OUTRAS,HOSPITAL,"< 9",I,1
ES,OUTRAS,HOSPITAL,"< 9",M,127
ES,OUTRAS,OUTRO,"< 9",F,3
ES,OUTRAS,OUTRO,"< 9",M,2
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,5
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
ES,OUTRAS,VIA_PUBLICA,"< 9",F,1
ES,OUTRAS,VIA_PUBLICA,"< 9",M,4
ES,COVID,HOSPITAL,"< 9",F,7
ES,COVID,HOSPITAL,"< 9",M,7
ES,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,8
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,12
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
ES,PNEUMONIA,DOMICILIO,"< 9",F,1
ES,PNEUMONIA,DOMICILIO,"< 9",M,1
ES,PNEUMONIA,HOSPITAL,"< 9",F,19
ES,PNEUMONIA,HOSPITAL,"< 9",M,23
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
ES,SEPTICEMIA,DOMICILIO,"< 9",F,1
ES,SEPTICEMIA,HOSPITAL,"< 9",F,61
ES,SEPTICEMIA,HOSPITAL,"< 9",M,70
ES,SRAG,HOSPITAL,"< 9",F,1
ES,SRAG,HOSPITAL,"< 9",M,1
GO,OUTRAS,DOMICILIO,"< 9",F,13
GO,OUTRAS,DOMICILIO,"< 9",M,11
GO,OUTRAS,HOSPITAL,"< 9",F,123
GO,OUTRAS,HOSPITAL,"< 9",I,1
GO,OUTRAS,HOSPITAL,"< 9",M,156
GO,OUTRAS,IGNORADO,"< 9",M,2
GO,OUTRAS,OUTRO,"< 9",F,6
GO,OUTRAS,OUTRO,"< 9",M,7
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,13
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,15
GO,OUTRAS,VIA_PUBLICA,"< 9",F,3
GO,OUTRAS,VIA_PUBLICA,"< 9",M,4
GO,COVID,HOSPITAL,"< 9",F,3
GO,COVID,HOSPITAL,"< 9",M,5
GO,COVID,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,INDETERMINADA,DOMICILIO,"< 9",M,1
GO,INDETERMINADA,HOSPITAL,"< 9",F,2
GO,INDETERMINADA,IGNORADO,"< 9",M,1
GO,INDETERMINADA,OUTRO,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,44
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,37
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,5
GO,PNEUMONIA,DOMICILIO,"< 9",M,1
GO,PNEUMONIA,HOSPITAL,"< 9",F,26
GO,PNEUMONIA,HOSPITAL,"< 9",M,24
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,SEPTICEMIA,HOSPITAL,"< 9",F,94
GO,SEPTICEMIA,HOSPITAL,"< 9",M,97
GO,SEPTICEMIA,IGNORADO,"< 9",F,2
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,5
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,7
GO,SRAG,HOSPITAL,"< 9",F,3
GO,SRAG,HOSPITAL,"< 9",M,2
MA,OUTRAS,DOMICILIO,"< 9",F,19
MA,OUTRAS,DOMICILIO,"< 9",M,24
MA,OUTRAS,HOSPITAL,"< 9",F,193
MA,OUTRAS,HOSPITAL,"< 9",I,4
MA,OUTRAS,HOSPITAL,"< 9",M,226
MA,OUTRAS,IGNORADO,"< 9",F,2
MA,OUTRAS,IGNORADO,"< 9",M,2
MA,OUTRAS,OUTRO,"< 9",F,2
MA,OUTRAS,OUTRO,"< 9",M,9
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,5
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,4
MA,OUTRAS,VIA_PUBLICA,"< 9",F,5
MA,COVID,HOSPITAL,"< 9",F,8
MA,COVID,HOSPITAL,"< 9",M,2
MA,INDETERMINADA,DOMICILIO,"< 9",M,1
MA,INDETERMINADA,HOSPITAL,"< 9",F,3
MA,INDETERMINADA,HOSPITAL,"< 9",M,2
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,26
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,28
MA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,PNEUMONIA,DOMICILIO,"< 9",M,2
MA,PNEUMONIA,HOSPITAL,"< 9",F,21
MA,PNEUMONIA,HOSPITAL,"< 9",M,29
MA,PNEUMONIA,IGNORADO,"< 9",M,1
MA,PNEUMONIA,VIA_PUBLICA,"< 9",F,1
MA,PNEUMONIA,VIA_PUBLICA,"< 9",M,1
MA,SEPTICEMIA,DOMICILIO,"< 9",M,1
MA,SEPTICEMIA,HOSPITAL,"< 9",F,48
MA,SEPTICEMIA,HOSPITAL,"< 9",M,57
MA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MA,SEPTICEMIA,VIA_PUBLICA,"< 9",M,1
MA,SRAG,HOSPITAL,"< 9",F,3
MA,SRAG,HOSPITAL,"< 9",M,3
MG,OUTRAS,DOMICILIO,"< 9",F,38
MG,OUTRAS,DOMICILIO,"< 9",M,47
MG,OUTRAS,HOSPITAL,"< 9",F,644
MG,OUTRAS,HOSPITAL,"< 9",I,12
MG,OUTRAS,HOSPITAL,"< 9",M,724
MG,OUTRAS,IGNORADO,"< 9",F,19
MG,OUTRAS,IGNORADO,"< 9",I,1
MG,OUTRAS,IGNORADO,"< 9",M,15
MG,OUTRAS,OUTRO,"< 9",F,2
MG,OUTRAS,OUTRO,"< 9",M,10
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,11
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,18
MG,OUTRAS,VIA_PUBLICA,"< 9",F,5
MG,OUTRAS,VIA_PUBLICA,"< 9",M,8
MG,COVID,HOSPITAL,"< 9",F,6
MG,COVID,HOSPITAL,"< 9",M,12
MG,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,INDETERMINADA,DOMICILIO,"< 9",M,2
MG,INDETERMINADA,HOSPITAL,"< 9",F,8
MG,INDETERMINADA,HOSPITAL,"< 9",I,1
MG,INDETERMINADA,HOSPITAL,"< 9",M,14
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,3
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,3
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,103
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,3
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,141
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,3
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MG,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,2
MG,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
MG,PNEUMONIA,DOMICILIO,"< 9",M,1
MG,PNEUMONIA,HOSPITAL,"< 9",F,26
MG,PNEUMONIA,HOSPITAL,"< 9",M,54
MG,PNEUMONIA,IGNORADO,"< 9",M,1
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MG,SEPTICEMIA,DOMICILIO,"< 9",M,1
MG,SEPTICEMIA,HOSPITAL,"< 9",F,274
MG,SEPTICEMIA,HOSPITAL,"< 9",M,301
MG,SEPTICEMIA,IGNORADO,"< 9",F,4
MG,SEPTICEMIA,IGNORADO,"< 9",M,4
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,3
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
MG,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
MG,SRAG,HOSPITAL,"< 9",F,10
MG,SRAG,HOSPITAL,"< 9",M,10
MG,SRAG,IGNORADO,"< 9",M,1
MS,OUTRAS,DOMICILIO,"< 9",F,15
MS,OUTRAS,DOMICILIO,"< 9",M,16
MS,OUTRAS,HOSPITAL,"< 9",F,177
MS,OUTRAS,HOSPITAL,"< 9",M,228
MS,OUTRAS,OUTRO,"< 9",M,4
MS,OUTRAS,VIA_PUBLICA,"< 9",F,5
MS,OUTRAS,VIA_PUBLICA,"< 9",M,6
MS,COVID,HOSPITAL,"< 9",M,1
MS,INDETERMINADA,DOMICILIO,"< 9",M,1
MS,INDETERMINADA,HOSPITAL,"< 9",F,1
MS,INDETERMINADA,POSTO_SAUDE,"< 9",F,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,5
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,22
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,32
MS,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
MS,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
MS,PNEUMONIA,DOMICILIO,"< 9",F,1
MS,PNEUMONIA,DOMICILIO,"< 9",M,1
MS,PNEUMONIA,HOSPITAL,"< 9",F,20
MS,PNEUMONIA,HOSPITAL,"< 9",M,25
MS,PNEUMONIA,VIA_PUBLICA,"< 9",M,2
MS,SEPTICEMIA,HOSPITAL,"< 9",F,44
MS,SEPTICEMIA,HOSPITAL,"< 9",M,54
MS,SRAG,HOSPITAL,"< 9",M,2
MT,OUTRAS,DOMICILIO,"< 9",F,3
MT,OUTRAS,DOMICILIO,"< 9",M,8
MT,OUTRAS,HOSPITAL,"< 9",F,95
MT,OUTRAS,HOSPITAL,"< 9",M,93
MT,OUTRAS,IGNORADO,"< 9",F,82
MT,OUTRAS,IGNORADO,"< 9",M,122
MT,OUTRAS,OUTRO,"< 9",F,4
MT,OUTRAS,OUTRO,"< 9",M,7
MT,OUTRAS,VIA_PUBLICA,"< 9",F,1
MT,OUTRAS,VIA_PUBLICA,"< 9",M,2
MT,COVID,HOSPITAL,"< 9",F,1
MT,COVID,HOSPITAL,"< 9",M,3
MT,COVID,OUTRO,"< 9",M,1
MT,COVID,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MT,INDETERMINADA,DOMICILIO,"< 9",M,1
MT,INDETERMINADA,IGNORADO,"< 9",F,1
MT,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,12
MT,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,7
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,8
MT,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,15
MT,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
MT,PNEUMONIA,DOMICILIO,"< 9",M,2
MT,PNEUMONIA,HOSPITAL,"< 9",F,7
MT,PNEUMONIA,HOSPITAL,"< 9",M,9
MT,PNEUMONIA,IGNORADO,"< 9",F,2
MT,PNEUMONIA,IGNORADO,"< 9",M,2
MT,SEPTICEMIA,HOSPITAL,"< 9",F,20
MT,SEPTICEMIA,HOSPITAL,"< 9",M,39
MT,SEPTICEMIA,IGNORADO,"< 9",F,11
MT,SEPTICEMIA,IGNORADO,"< 9",M,14
MT,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MT,SRAG,HOSPITAL,"< 9",M,1
MT,SRAG,IGNORADO,"< 9",M,1
PA,OUTRAS,DOMICILIO,"< 9",F,19
PA,OUTRAS,DOMICILIO,"< 9",M,33
